data-prix;data-idannonce;data-nb_chambres;data-nb_pieces;data-surface
488250;0;1;2 ;54,63
498200;0;1;2 ;35,65
983000;0;2;3 ;62
124000;0;2;4 ;66,16
789000;0;2;3 ;80
1250000;0;4;5 ;110
2590000;0;4;6 ;190
179000;0;1;2 ;44,68
948000;0;1;2 ;56
572000;0;1;2 ;36,23
572500;0;1;2 ;49,92
239500;0;2;5 ;80
